fewral	fewrallar	N;NOM;PL
fewral	fewrallaryò	N;GEN;PL
fewral	fewrallarda	N;LOC;PL
fewral	fewraldan	N;ABL;SG
fewral	fewralyò	N;GEN;SG
fewral	fewraly	N;ACC;SG
fewral	fewrallardan	N;ABL;PL
fewral	fewrallary	N;ACC;PL
fewral	fewralda	N;LOC;SG
fewral	fewrallara	N;DAT;PL
fewral	fewrala	N;DAT;SG
fewral	fewral	N;NOM;SG

gamburger	gamburgerler	N;NOM;PL
gamburger	gamburgerleriò	N;GEN;PL
gamburger	gamburgerlerde	N;LOC;PL
gamburger	gamburgerden	N;ABL;SG
gamburger	gamburgeriò	N;GEN;SG
gamburger	gamburgeri	N;ACC;SG
gamburger	gamburgerlerden	N;ABL;PL
gamburger	gamburgerleri	N;ACC;PL
gamburger	gamburgerde	N;LOC;SG
gamburger	gamburgerlere	N;DAT;PL
gamburger	gamburgere	N;DAT;SG
gamburger	gamburger	N;NOM;SG

gan	ganlar	N;NOM;PL
gan	ganlaryò	N;GEN;PL
gan	ganlarda	N;LOC;PL
gan	gandan	N;ABL;SG
gan	ganyò	N;GEN;SG
gan	gany	N;ACC;SG
gan	ganlardan	N;ABL;PL
gan	ganlary	N;ACC;PL
gan	ganda	N;LOC;SG
gan	ganlara	N;DAT;PL
gan	gana	N;DAT;SG
gan	gan	N;NOM;SG

garynja	garynjalar	N;NOM;PL
garynja	garynjalaryò	N;GEN;PL
garynja	garynjalarda	N;LOC;PL
garynja	garynjadan	N;ABL;SG
garynja	garynjanyò	N;GEN;SG
garynja	garynjany	N;ACC;SG
garynja	garynjalardan	N;ABL;PL
garynja	garynjalary	N;ACC;PL
garynja	garynjada	N;LOC;SG
garynja	garynjalara	N;DAT;PL
garynja	garynja	N;DAT;SG
garynja	garynja	N;NOM;SG

gatyk	gatyklar	N;NOM;PL
gatyk	gatyklara	N;GEN;PL
gatyk	gatyklarda	N;LOC;PL
gatyk	gatykdan	N;ABL;SG
gatyk	gatyga	N;GEN;SG
gatyk	gatygyò	N;ACC;SG
gatyk	gatyklardan	N;ABL;PL
gatyk	gatyklaryò	N;ACC;PL
gatyk	gatykda	N;LOC;SG
gatyk	gatyklary	N;DAT;PL
gatyk	gatygy	N;DAT;SG
gatyk	gatyk	N;NOM;SG

gije	gijeler	N;NOM;PL
gije	gijelerniò	N;GEN;PL
gije	gijelerde	N;LOC;PL
gije	gijeden	N;ABL;SG
gije	gijeniò	N;GEN;SG
gije	gijeni	N;ACC;SG
gije	gijelerden	N;ABL;PL
gije	gijelerni	N;ACC;PL
gije	gijede	N;LOC;SG
gije	gijelere	N;DAT;PL
gije	gijä	N;DAT;SG
gije	gije	N;NOM;SG

gul	gullar	N;NOM;PL
gul	gullaryò	N;GEN;PL
gul	gullarda	N;LOC;PL
gul	guldan	N;ABL;SG
gul	guluò	N;GEN;SG
gul	guly	N;ACC;SG
gul	gullardan	N;ABL;PL
gul	gullary	N;ACC;PL
gul	gulda	N;LOC;SG
gul	gullara	N;DAT;PL
gul	gula	N;DAT;SG
gul	gul	N;NOM;SG

gulak	gulaklar	N;NOM;PL
gulak	gulaklaryò	N;GEN;PL
gulak	gulaklarda	N;LOC;PL
gulak	gulakdan	N;ABL;SG
gulak	gulagyò	N;GEN;SG
gulak	gulagy	N;ACC;SG
gulak	gulaklardan	N;ABL;PL
gulak	gulaklary	N;ACC;PL
gulak	gulakda	N;LOC;SG
gulak	gulaklara	N;DAT;PL
gulak	gulaga	N;DAT;SG
gulak	gulak	N;NOM;SG

gylyç	gylyçlar	N;NOM;PL
gylyç	gylyçlaryò	N;GEN;PL
gylyç	gylyçlarda	N;LOC;PL
gylyç	gylyçdan	N;ABL;SG
gylyç	gylyjyò	N;GEN;SG
gylyç	gylyjy	N;ACC;SG
gylyç	gylyçlardan	N;ABL;PL
gylyç	gylyçlary	N;ACC;PL
gylyç	gylyçda	N;LOC;SG
gylyç	gylyçlara	N;DAT;PL
gylyç	gylyja	N;DAT;SG
gylyç	gylyç	N;NOM;SG

göz	gözler	N;NOM;PL
göz	gözleriò	N;GEN;PL
göz	gözlerde	N;LOC;PL
göz	gözden	N;ABL;SG
göz	gözüò	N;GEN;SG
göz	gözü	N;ACC;SG
göz	gözlerden	N;ABL;PL
göz	gözleri	N;ACC;PL
göz	gözde	N;LOC;SG
göz	gözlere	N;DAT;PL
göz	göze	N;DAT;SG
göz	göz	N;NOM;SG

gün	günler	N;NOM;PL
gün	günleriò	N;GEN;PL
gün	günlerde	N;LOC;PL
gün	günden	N;ABL;SG
gün	günüò	N;GEN;SG
gün	günü	N;ACC;SG
gün	günlerden	N;ABL;PL
gün	günleri	N;ACC;PL
gün	günde	N;LOC;SG
gün	günlere	N;DAT;PL
gün	güne	N;DAT;SG
gün	gün	N;NOM;SG

günä	günäler	N;NOM;PL
günä	günäleriò	N;GEN;PL
günä	günälerde	N;LOC;PL
günä	günäden	N;ABL;SG
günä	günäniò	N;GEN;SG
günä	günäni	N;ACC;SG
günä	günälerden	N;ABL;PL
günä	günäleri	N;ACC;PL
günä	günäde	N;LOC;SG
günä	günälere	N;DAT;PL
günä	günä	N;DAT;SG
günä	günä	N;NOM;SG

harp	harplar	N;NOM;PL
harp	harplaryò	N;GEN;PL
harp	harplarda	N;LOC;PL
harp	harpdan	N;ABL;SG
harp	harpyò	N;GEN;SG
harp	harpy	N;ACC;SG
harp	harplardan	N;ABL;PL
harp	harplary	N;ACC;PL
harp	harpda	N;LOC;SG
harp	harplara	N;DAT;PL
harp	harpa	N;DAT;SG
harp	harp	N;NOM;SG

agaç	agaçlar	N;NOM;PL
agaç	agaçlaryò	N;GEN;PL
agaç	agaçlarda	N;LOC;PL
agaç	agaçdan	N;ABL;SG
agaç	agajyò	N;GEN;SG
agaç	agajy	N;ACC;SG
agaç	agaçlardan	N;ABL;PL
agaç	agaçlary	N;ACC;PL
agaç	agaçda	N;LOC;SG
agaç	agaçlara	N;DAT;PL
agaç	agaja	N;DAT;SG
agaç	agaç	N;NOM;SG

agyz	agyzlar	N;NOM;PL
agyz	agyzlaryò	N;GEN;PL
agyz	agyzlarda	N;LOC;PL
agyz	agyzdan	N;ABL;SG
agyz	agzyò	N;GEN;SG
agyz	agzy	N;ACC;SG
agyz	agyzlardan	N;ABL;PL
agyz	agyzlary	N;ACC;PL
agyz	agyzda	N;LOC;SG
agyz	agyzlara	N;DAT;PL
agyz	agza	N;DAT;SG
agyz	agyz	N;NOM;SG

it	itler	N;NOM;PL
it	itleriò	N;GEN;PL
it	itlerde	N;LOC;PL
it	itden	N;ABL;SG
it	idiò	N;GEN;SG
it	idi	N;ACC;SG
it	itlerden	N;ABL;PL
it	itleri	N;ACC;PL
it	itde	N;LOC;SG
it	itlere	N;DAT;PL
it	ide	N;DAT;SG
it	it	N;NOM;SG

je	jeler	N;NOM;PL
je	jeleriò	N;GEN;PL
je	jelerde	N;LOC;PL
je	jeden	N;ABL;SG
je	jeniò	N;GEN;SG
je	jeni	N;ACC;SG
je	jelerden	N;ABL;PL
je	jeleri	N;ACC;PL
je	jede	N;LOC;SG
je	jelere	N;DAT;PL
je	jä	N;DAT;SG
je	je	N;NOM;SG

kaka	kakalar	N;NOM;PL
kaka	kakalaryò	N;GEN;PL
kaka	kakalarda	N;LOC;PL
kaka	kakadan	N;ABL;SG
kaka	kakanyò	N;GEN;SG
kaka	kakany	N;ACC;SG
kaka	kakalardan	N;ABL;PL
kaka	kakalary	N;ACC;PL
kaka	kakada	N;LOC;SG
kaka	kakalara	N;DAT;PL
kaka	kaka	N;DAT;SG
kaka	kaka	N;NOM;SG

kartoºka	kartoºkalar	N;NOM;PL
kartoºka	kartoºkalaryò	N;GEN;PL
kartoºka	kartoºkalarda	N;LOC;PL
kartoºka	kartoºkadan	N;ABL;SG
kartoºka	kartoºkanyò	N;GEN;SG
kartoºka	kartoºkany	N;ACC;SG
kartoºka	kartoºkalardan	N;ABL;PL
kartoºka	kartoºkalary	N;ACC;PL
kartoºka	kartoºkada	N;LOC;SG
kartoºka	kartoºkalara	N;DAT;PL
kartoºka	kartoºkana	N;DAT;SG
kartoºka	kartoºka	N;NOM;SG

ajy	ajylar	N;NOM;PL
